filtered	sample
5375	2017-12-12-3578-PR2-0061-A
4041	2017-12-12-3578-PR2-0061-B
71	2017-12-12-3579-PR2-0071-A
202	2017-12-12-3579-PR2-0071-B
20493	2017-12-12-3580-PR2-008-A
6146	2017-12-12-3580-PR2-008-B
1	2017-12-12-3589-PR2-010-a
4	2017-12-12-3589-PR2-010-b
24	2017-12-12-3602-PR2-0061-A
11	2017-12-12-3602-PR2-0061-B
34750	2017-12-12-3604-PR2-0061-A
39964	2017-12-12-3604-PR2-0061-B
230	2017-12-12-3614-PR2-0061-A
141	2017-12-12-3614-PR2-0061-B
0	2017-12-12-3615-PR2-009-A
0	2017-12-12-3615-PR2-009-B
3	2017-12-12-3615-PR2-010-a
0	2017-12-12-3615-PR2-010-b
1	2017-12-12-3616-PR2-0062-B
0	2017-12-12-3616-PR2-17-B
20115	2017-12-12-3617-PR2-008-A
0	2017-12-12-3617-PR2-008-B
0	2017-12-13-3627-PR2-009-B
2	2017-12-13-3627-PR2-011-a
0	2017-12-13-3627-PR2-011-b
4362	2017-12-13-3630-PR2-0061-A
6261	2017-12-13-3630-PR2-0061-B
0	2017-12-13-3637-PR2-008-A
0	2017-12-13-3637-PR2-008-B
0	2017-12-13-3637-PR2-010-a
20439	2017-12-13-3637-PR2-010-b
0	2017-12-13-3642-PR2-008-A
9077	2017-12-13-3642-PR2-008-B
8596	2017-12-13-3642-PR2-010-a
17800	2017-12-13-3642-PR2-010-b
18	2017-12-18-3122-PR2-0071-A
19	2017-12-18-3122-PR2-0071-B
18652	2017-12-18-3148-PR2-008-A
4309	2017-12-18-3148-PR2-008-B
42648	2017-12-18-3154-PR2-0061-A
44860	2017-12-18-3154-PR2-0061-B
411	2017-12-18-3190-PR2-0062-A
428	2017-12-18-3190-PR2-0062-B
336	2017-12-18-3202-PR2-0062-A
2	2017-12-18-3202-PR2-0062-B
10077	2017-12-18-3202-PR2-17-A
4636	2017-12-18-3202-PR2-17-B
6173	2017-12-18-3205-PR2-0062-A
8420	2017-12-18-3205-PR2-0062-B
0	2017-12-18-3649-PR2-009-A
0	2017-12-18-3649-PR2-009-B
1	2017-12-18-3649-PR2-011-a
22108	2017-12-18-3649-PR2-011-b
529	2017-12-18-3659-PR2-0062-B
15	2017-12-18-3661-PR2-010-a
5	2017-12-18-3661-PR2-010-b
94	2017-12-18-3665-PR2-0062-A
158	2017-12-18-3665-PR2-0062-B
12089	2017-12-18-3824-PR2-010-a
23027	2017-12-18-3824-PR2-010-b
7656	2017-12-19-3672-PR2-0061-A
6962	2017-12-19-3672-PR2-0061-B
2171	2017-12-19-3673-PR2-0072-A
2566	2017-12-19-3673-PR2-0072-B
1518	2017-12-19-3677-PR2-0061-A
1474	2017-12-19-3677-PR2-0061-B
0	2017-12-19-3681-PR2-009-A
0	2017-12-19-3681-PR2-009-B
0	2017-12-19-3681-PR2-011-a
21746	2017-12-19-3681-PR2-011-b
0	2017-12-19-3685-PR2-0061-A
481	2017-12-19-3685-PR2-0061-B
70131	2017-12-20-3708-PR2-0061-A
58130	2017-12-20-3708-PR2-0061-B
14517	2017-12-20-3709-PR2-0062-A
13167	2017-12-20-3709-PR2-0062-B
14888	2017-12-20-3713-PR2-008-A
25148	2017-12-20-3713-PR2-008-B
26146	2017-12-20-3714-PR2-0071-A
26999	2017-12-20-3714-PR2-0071-B
